sku,name,category,subcategory,price_idr,stock_status,description,specifications,image_url,product_url,tokopedia_url,shopee_url,scraped_at
106628,MAIWO USB 3.0 to VGA Adapter - KCB003,Accessories,USB HUB and CARD READER USB Converter,320000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/4/1bd574a5-03d6-4d80-92e3-c9ae4d68b4a3.png,https://enterkomputer.com/detail/106628/MAIWO-USB-30-to-VGA-Adapter-KCB003,https://www.tokopedia.com/enterkomputer/maiwo-usb-30-to-vga-adapter-kcb003,https://shopee.co.id/product/43570421/1493773244,2026-05-11T04:09:30.158257+00:00
106629,MAIWO DP to VGA Adapter - Best Quality - KCB004,Accessories,Cable Accessories Connector,130000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/4/8bc17eb2-c4a7-4eea-82e6-02d66b3a7250.png,https://enterkomputer.com/detail/106629/MAIWO-DP-to-VGA-Adapter-Best-Quality-KCB004,https://www.tokopedia.com/enterkomputer/maiwo-dp-to-vga-adapter-best-quality-kcb004,https://s.shopee.co.id/4VOgmDpY7M,2026-05-11T04:09:26.601918+00:00
106632,MAIWO USB 3.0 to SATA Hard Disk Adapter - K132U3IS,Accessories,USB HUB and CARD READER USB Adapter,190000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/4/70096fa2-50e3-4d2f-ad8d-64be74fb77f8.png,https://enterkomputer.com/detail/106632/MAIWO-USB-30-to-SATA-Hard-Disk-Adapter-K132U3IS,https://www.tokopedia.com/enterkomputer/maiwo-usb-3-0-to-sata-hard-disk-adapter-k132u3is,https://s.shopee.co.id/8UupEwZgaW,2026-05-11T04:09:19.701441+00:00
106633,MAIWO 2 in 1  Micro USB Cable ( Micro USB To USB dan Micro USB to Micro USB ) - CT003,Accessories,Cable Accessories Kabel USB,29000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/4/4f47d767-a7b8-438f-a148-7384d32969f7.png,https://enterkomputer.com/detail/106633/MAIWO-2-in-1-Micro-USB-Cable-Micro-USB-To-USB-dan-Micro-USB-to-Micro-USB-CT003,https://www.tokopedia.com/enterkomputer/maiwo-2-in-1-micro-usb-cable-ct003,https://shopee.co.id/product/43570421/1493773229,2026-05-11T04:09:23.137002+00:00
106638,Unitek USB3.0 to SATA6G Docking Station - Y-1078,Accessories,Casing Harddisk Docking,256000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/4/d38535d5-e3f7-42cb-adb3-66203f244d45.png,https://enterkomputer.com/detail/106638/Unitek-USB30-to-SATA6G-Docking-Station-Y-1078,https://www.tokopedia.com/enterkomputer/unitek-usb-3-0-sata3-docking-station-y1078,https://shopee.co.id/product/43570421/7706487636,2026-05-11T05:08:26.013848+00:00
167668,ASRock DeskMini X300 Series,All In One,Mini PC,2219000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/9/29/97169ebc-6e6f-4418-a2c5-f96ab55efcd4.jpg,https://enterkomputer.com/detail/167668/ASRock-DeskMini-X300-Series,https://tokopedia.link/HpS0flk4fCb,https://s.shopee.co.id/5VH2hkcyFa,2026-05-10T15:51:52.074442+00:00
172802,ASRock Jupiter X300,All In One,Mini PC,3060000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/3/e9742b58-bf6d-48b9-a869-e28550ec674b.png,https://enterkomputer.com/detail/172802/ASRock-Jupiter-X300,https://tokopedia.link/u60kRMZ3fCb,https://shopee.co.id/product/43570421/11840472329/,2026-05-10T15:52:04.389872+00:00
178754,ASRock Deskmini X300 Bracket Vesa Mount - DESKMINIVESA-MK,All In One,Accessories,130000,in_stock,,{},,https://enterkomputer.com/detail/178754/ASRock-Deskmini-X300-Bracket-Vesa-Mount-DESKMINIVESA-MK,,,2026-05-10T15:52:31.032943+00:00
178768,ASRock DeskMeet X300 Series,All In One,Mini PC,2960000,in_stock,,{},https://images.tokopedia.net/img/cache/900/VqbcmM/2022/7/27/6e566cc9-7b31-4cea-86dc-9a5a35af4410.jpg,https://enterkomputer.com/detail/178768/ASRock-DeskMeet-X300-Series,https://tokopedia.com/enterkomputer/asrock-deskmeet-x300-series,https://shopee.co.id/product/43570421/20228569184/,2026-05-10T15:52:16.354585+00:00
178769,ASRock DeskMeet B660 Series,All In One,Mini PC,3705000,in_stock,,{},https://images.tokopedia.net/img/cache/900/VqbcmM/2022/9/6/e58260e3-58fe-499c-a5bc-716b9614bc9d.jpg,https://enterkomputer.com/detail/178769/ASRock-DeskMeet-B660-Series,https://tokopedia.link/7M17tLh4fCb,https://shopee.co.id/product/43570421/19743203526/,2026-05-10T15:51:46.103320+00:00
